"Year","Yearly_Ranking","Title","Studio","Total_Gross","Number_of_Theaters","Opening_Gross","Number_of_Opening_Theaters","Open_Date","End_Date","Running.time","Genre","Rating","Open_Month","End_Month","Playing_day","Running.length","Gross_level","Ranking"
"2015","58","Poltergeist (2015)","Fox",47425125,3242,22620386,3240,"5/22","8/6",93,"Horror","PG-13","May",8,76,"medium","0","6"
"2015","59","Jupiter Ascending","WB",47387723,3181,18372372,3181,"2/6","5/7",127,"Sci-Fi","PG-13","Feb",5,90,"long","0","6"
"2015","60","Sicario","LGF",46889293,2620,401288,6,"9/18","1/14",121,"Action Drama","R","Sep",1,118,"long","0","6"
"2015","61","The Man From U.N.C.L.E.","WB",45445109,3673,13421036,3638,"8/14","10/22",116,"Action","PG-13","Aug",10,69,"medium","0","7"
"2015","62","Spotlight","ORF",45055776,1227,295009,5,"11/6","5/5",128,"Drama","R","Nov",5,181,"long","0","7"
"2015","63","\"McFarland, USA\"","BV",44482410,2792,11020798,2755,"2/20","7/9",128,"Sports Drama","PG","Feb",7,139,"long","0","7"
"2015","64","The Gift (2015)","STX",43787265,2503,11854273,2503,"8/7","10/9",108,"Thriller","R","Aug",10,63,"medium","0","7"
"2015","65","Everest (2015)","Uni.",43482270,3009,7222035,545,"9/18","11/26",121,"Thriller","PG-13","Sep",11,69,"long","0","7"
"2015","66","The Night Before","Sony",43047372,2960,9880536,2960,"11/20","1/14",101,"Comedy","R","Nov",1,55,"medium","0","7"
"2015","67","Krampus","Uni.",42725475,2919,16293325,2902,"12/4","1/21",98,"Horror Comedy","PG-13","Dec",1,48,"medium","0","7"
"2015","68","Max (2015)","WB",42656255,2870,12155254,2855,"6/26","10/15",111,"Family","PG","Jun",10,111,"medium","0","7"
"2015","69","The Age of Adaline","LGF",42629776,3070,13203458,2991,"4/24","7/9",112,"Drama","PG-13","Apr",7,76,"medium","0","7"
"2015","70","Brooklyn","FoxS",38322743,962,187281,5,"11/4","5/26",111,"Drama","PG-13","Nov",5,204,"medium","0","7"
"2015","71","The Longest Ride","Fox",37446117,3371,13019686,3366,"4/10","7/9",139,"Romance","PG-13","Apr",7,90,"long","0","8"
"2015","72","The Boy Next Door","Uni.",35423380,2615,14910105,2602,"1/23","3/12",91,"Thriller","R","Jan",3,48,"medium","0","8"
"2015","73","Pan","WB",35088320,3515,15315435,3515,"10/9","1/7",111,"Fantasy","PG","Oct",1,90,"medium","0","8"
"2015","74","Hot Pursuit","WB",34580201,3037,13942258,3003,"5/8","7/30",87,"Comedy","PG-13","May",7,83,"short","0","8"
"2015","75","Concussion (2015)","Sony",34542474,2841,10513749,2841,"12/25","3/17",123,"Drama","PG-13","Dec",3,83,"long","0","8"
"2015","76","The DUFF","LGF",34030343,2622,10809149,2575,"2/20","5/14",101,"Comedy","PG-13","Feb",5,83,"medium","0","8"
"2015","77","Woman in Gold","Wein.",33307793,2011,2091551,258,"4/1","8/13",109,"Drama","PG-13","Apr",8,134,"medium","0","8"
"2015","78","The Second Best Exotic Marigold Hotel","FoxS",33078266,2022,8540370,1573,"3/6","6/25",122,"Comedy / Drama","PG","Mar",6,111,"long","0","8"
"2015","79","Unfriended","Uni.",32482090,2775,15845115,2739,"4/17","5/28",83,"Horror","R","Apr",5,41,"short","0","8"
"2015","80","Entourage","WB",32363404,3108,10283250,3108,"6/3","8/13",104,"Comedy","R","Jun",8,71,"medium","0","8"
"2015","81","Paper Towns","Fox",32000304,3031,12650140,3031,"7/24","10/15",109,"Drama","PG-13","Jul",10,83,"medium","0","9"
"2015","82","Chappie","Sony",31569268,3201,13346782,3201,"3/6","5/3",120,"Sci-Fi Action","R","Mar",5,58,"long","0","9"
"2015","83","Crimson Peak","Uni.",31090320,2991,13143310,2984,"10/16","11/26",119,"Horror","R","Oct",11,41,"medium","0","9"
"2015","84","A Walk in the Woods","BG",29504281,2158,8246267,1960,"9/2","12/20",104,"Comedy","R","Sep",12,109,"medium","0","9"
"2015","85","Point Break (2015)","WB",28782481,2910,9800252,2910,"12/25","2/25",113,"Action","PG-13","Dec",2,62,"medium","0","9"
"2015","86","Sinister 2","Focus",27740955,2799,10542116,2766,"8/21","10/29",97,"Horror","R","Aug",10,69,"medium","0","9"
"2015","87","The Last Witch Hunter","LG/S",27367660,3082,10812861,3082,"10/23","12/31",106,"Action Fantasy","PG-13","Oct",12,69,"medium","0","9"
"2015","88","No Escape","Wein.",27288872,3415,8111264,3355,"8/26","11/26",101,"Action","R","Aug",11,92,"medium","0","9"
"2015","89","Ricki and the Flash","TriS",26822144,2064,6610961,1603,"8/7","10/11",101,"Comedy / Drama","PG-13","Aug",10,65,"medium","0","9"
"2015","90","The Woman in Black 2: Angel of Death","Rela.",26501323,2602,15027415,2602,"1/2","3/19",98,"Horror","PG-13","Jan",3,76,"medium","0","9"
"2015","91","Run All Night","WB",26461644,3171,11012305,3171,"3/13","5/7",114,"Action","R","Mar",5,55,"medium","0","10"
"2015","92","Love the Coopers","LGF",26302731,2603,8317545,2603,"11/13","1/14",107,"Comedy","PG-13","Nov",1,62,"medium","0","10"
"2015","93","The Lazarus Effect","Rela.",25801047,2666,10203437,2666,"2/27","6/11",83,"Horror","PG-13","Feb",6,104,"short","0","10"
"2015","94","Ex Machina","A24",25442958,2004,237264,4,"4/10","9/3",110,"Sci-Fi Thriller","R","Apr",9,146,"medium","0","10"
"2015","95","In the Heart of the Sea","WB",25020758,3103,11053366,3103,"12/11","2/11",121,"Drama","PG-13","Dec",2,62,"long","0","10"
"2015","96","The Gallows","WB",22764410,2720,9808463,2720,"7/10","9/17",81,"Horror","R","Jul",9,69,"short","0","10"
"2015","97","Hitman: Agent 47","Fox",22467450,3273,8326530,3261,"8/21","10/15",96,"Action / Adventure","R","Aug",10,55,"medium","0","10"
"2015","98","Project Almanac","Par.",22348241,2900,8310252,2893,"1/30","3/26",106,"Sci-Fi","PG-13","Jan",3,55,"medium","0","10"
"2015","99","Black or White","Rela.",21571189,1823,6213362,1823,"1/30","5/14",121,"Drama","PG-13","Jan",5,104,"long","0","10"
"2015","100","Aloha","Sony",21067116,2815,9670235,2815,"5/29","7/30",105,"Comedy / Drama","PG-13","May",7,62,"medium","0","10"
"2016","1","Rogue One: A Star Wars Story","BV",532177324,4157,155081681,4157,"12/16","5/4",133,"Sci-Fi Adventure","PG-13","Dec",5,139,"long","5","1"
"2016","2","Finding Dory","BV",486295561,4305,135060273,4305,"6/17","12/8",103,"Animation","PG","Jun",12,174,"medium","4","1"
"2016","3","Captain America: Civil War","BV",408084349,4226,179139142,4226,"5/6","9/22",147,"Action / Adventure","PG-13","May",9,139,"long","4","1"
"2016","4","The Secret Life of Pets","Uni.",368384330,4381,104352905,4370,"7/8","12/29",90,"Animation","PG","Jul",12,174,"medium","3","1"
"2016","5","The Jungle Book (2016)","BV",364001123,4144,103261464,4028,"4/15","9/29",105,"Adventure","PG","Apr",9,167,"medium","3","1"
"2016","6","Deadpool","Fox",363070709,3856,132434639,3558,"2/12","6/16",106,"Action","R","Feb",6,125,"medium","3","1"
"2016","7","Zootopia","BV",341268248,3959,75063401,3827,"3/4","8/4",108,"Animation","PG","Mar",8,153,"medium","3","1"
"2016","8","Batman v Superman: Dawn of Justice","WB",330360194,4256,166007347,4242,"3/25","6/16",151,"Action / Adventure","PG-13","Mar",6,83,"long","3","1"
"2016","9","Suicide Squad","WB",325100054,4255,133682248,4255,"8/5","11/10",130,"Action / Adventure","PG-13","Aug",11,97,"long","3","1"
"2016","10","Sing","Uni.",270395425,4029,35258145,4022,"12/21","5/11",110,"Animation","PG","Dec",5,141,"medium","2","1"
"2016","11","Moana","BV",248757044,3875,56631401,3875,"11/23","4/27",103,"Animation","PG","Nov",4,155,"medium","2","2"
"2016","12","Fantastic Beasts and Where To Find Them","WB",234037575,4144,74403387,4144,"11/18","3/30",140,"Fantasy","PG-13","Nov",3,132,"long","2","2"
"2016","13","Doctor Strange","BV",232641920,3882,85058311,3882,"11/4","3/16",115,"Action / Adventure","PG-13","Nov",3,132,"medium","2","2"
"2016","14","Hidden Figures","Fox",169607287,3416,515499,25,"12/25","11/9",127,"Drama","PG","Dec",11,319,"long","1","2"
"2016","15","Jason Bourne","Uni.",162434410,4039,59215365,4026,"7/29","12/22",123,"Action","PG-13","Jul",12,146,"long","1","2"
"2016","16","Star Trek Beyond","Par.",158848340,3928,59253211,3928,"7/22","10/20",120,"Sci-Fi Adventure","PG-13","Jul",10,90,"long","1","2"
"2016","17","X-Men: Apocalypse","Fox",155442489,4153,65769562,4150,"5/27","7/28",143,"Action / Adventure","PG-13","May",7,62,"long","1","2"
"2016","18","Trolls","Fox",153707064,4066,46581142,4060,"11/4","3/30",94,"Animation","PG","Nov",3,146,"medium","1","2"
"2016","19","La La Land","LG/S",151101803,3236,881104,5,"12/9","4/27",128,"Musical","PG-13","Dec",4,139,"long","1","2"
"2016","20","Kung Fu Panda 3","Fox",143528619,3987,41282042,3955,"1/29","7/21",95,"Animation","PG","Jan",7,174,"medium","1","2"
"2016","21","Ghostbusters (2016)","Sony",128350574,3963,46018755,3963,"7/15","11/10",108,"Horror Comedy","PG-13","Jul",11,118,"medium","1","3"
